City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,lihue,21.9789,-159.3672,28.58,71,75,7.72,US,1690609631
282,isangel,-19.55,169.2667,20.16,63,95,5.94,VU,1690609865
283,nieuw amsterdam,5.8833,-55.0833,26.68,87,76,3.51,SR,1690609866
284,bardsir,29.9227,56.5743,31.25,13,6,1.65,IR,1690609866
285,hithadhoo,-0.6,73.0833,28.02,73,95,3.73,MV,1690609866
286,burang,30.25,81.1667,13.29,73,98,3.35,CN,1690609867
287,san jose de jachal,-30.2406,-68.7469,12.96,28,42,2.53,AR,1690609868
288,balasore,21.4942,86.9317,33.12,66,100,2.64,IN,1690609868
289,ciudad lazaro cardenas,17.9583,-102.2,26.74,85,37,1.39,MX,1690609868
290,zalingei,12.9096,23.4741,23.47,79,80,0.38,SD,1690609869
291,aegina,37.7467,23.4275,29.28,59,0,3.72,GR,1690609869
292,tamandare,-8.7597,-35.1047,22.91,88,39,2.68,BR,1690609870
293,praia da vitoria,38.7333,-27.0667,22.64,94,40,4.1,PT,1690609870
294,hawaiian paradise park,19.5933,-154.9731,25.73,86,75,2.06,US,1690609870
295,sosnytsya,51.5239,32.4999,18.93,57,74,1.92,UA,1690609871
296,okahandja,-21.9833,16.9167,3.59,97,27,3.89,NA,1690609871
297,dalandzadgad,43.5708,104.425,33.62,17,18,5.07,MN,1690609872
298,bay city,43.5945,-83.8889,22.45,89,0,2.06,US,1690609815
299,castillos,-34.1667,-53.8333,4.57,87,6,0.98,UY,1690609872
300,urumqi,43.801,87.6005,21.53,60,100,4.0,CN,1690609873
301,shizunai-furukawacho,42.3339,142.3669,25.07,83,78,4.42,JP,1690609873
302,vanimo,-2.6741,141.3028,28.03,81,73,1.93,PG,1690609874
303,terrace,54.5163,-128.6035,23.95,40,75,2.06,CA,1690609874
304,nouadhibou,20.931,-17.0347,21.99,78,9,8.23,MR,1690609874
305,mazabuka,-15.856,27.748,17.61,50,0,2.69,ZM,1690609875
306,east ballina,-28.8667,153.5833,19.41,63,17,3.43,AU,1690609875
307,tarakan,3.3,117.6333,31.72,74,20,2.06,ID,1690609876
308,peniche,39.3558,-9.3811,20.72,96,28,0.39,PT,1690609876
309,kalispell,48.1958,-114.3129,21.02,43,0,3.6,US,1690609877
310,trairi,-3.2778,-39.2689,24.68,87,7,4.15,BR,1690609814
311,moab,38.5733,-109.5498,30.03,23,44,4.65,US,1690609877
312,miles city,46.4083,-105.8406,22.54,56,75,6.69,US,1690609878
313,imbituba,-28.24,-48.6703,12.63,78,96,4.78,BR,1690609878
314,merritt,50.1123,-120.7942,17.96,73,96,0.89,CA,1690609879
315,aykhal,66.0,111.5,24.25,30,33,2.99,RU,1690609879
316,cape coast,5.1053,-1.2466,24.25,89,100,3.26,GH,1690609879
317,colonia,50.9333,6.95,19.21,91,40,0.51,DE,1690609722
